iter	Passed	Remaining
992	14316	100
993	14326	86
994	14336	72
995	14344	57
996	14353	43
997	14361	28
998	14370	14
999	14378	0
46	330
977	14056	316
978	14065	301
979	14076	287
980	14085	272
981	14094	258
982	14107	243
983	14116	229
984	14126	215
985	14139	200
986	14153	186
987	14163	172
988	14173	157
989	14181	143
990	14192	128
991	14202	114
992	14210	100
993	14220	85
994	14228	71
995	14238	57
996	14245	42
997	14254	28
998	14263	14
999	14271	0
